Protein,UKBB_PPP_exposure,uniprot,UKBB_PPP_HGNC,UKBB_PPP_Approved symbol,UKBB_PPP_OMIM_Gene_ID,UKBB_PPP_Ensembl_gene_ID,UKBB_PPP_NCBI_Gene_ID,UKBB_PPP_oid,UKBB_PPP_target_full_name,UKBB_PPP_platform,UKBB_PPP_panel
QPCT,QPCT:Q16769:Cardiometabolic,Q16769,9753,QPCT,607065,ENSG00000115828,25797,OID20320,Glutaminyl-peptide cyclotransferase,Olink Explore,Cardiometabolic_v1
QSOX1,QSOX1:O00391:Inflammation_II,O00391,9756,QSOX1,603120,ENSG00000116260,5768,OID30729,Sulfhydryl oxidase 1,Olink Explore,Inflammation_v1
RAB10,RAB10:P61026:Cardiometabolic_II,P61026,9759,RAB10,612672,ENSG00000084733,10890,OID30357,Ras-related protein Rab-10,Olink Explore,Cardiometabolic_v1
RAB27B,RAB27B:O00194:Cardiometabolic_II,O00194,9767,RAB27B,603869,ENSG00000041353,5874,OID30354,Ras-related protein Rab-27B,Olink Explore,Cardiometabolic_v1
RAB33A,RAB33A:Q14088:Cardiometabolic_II,Q14088,9773,RAB33A,300333,ENSG00000134594,9363,OID30122,Ras-related protein Rab-33A,Olink Explore,Cardiometabolic_v1
RAB6A,RAB6A:P20340:Inflammation,P20340,9786,RAB6A,179513,ENSG00000175582,5870,OID20608,Ras-related protein Rab-6A,Olink Explore,Inflammation_v1
RAD23B,RAD23B:P54727:Oncology,P54727,9813,RAD23B,600062,ENSG00000119318,5887,OID21166,UV excision repair protein RAD23 homolog B,Olink Explore,Oncology_v1
RALB,RALB:P11234:Inflammation_II,P11234,9840,RALB,179551,ENSG00000144118,5899,OID30567,Ras-related protein Ral-B,Olink Explore,Inflammation_v1
RANBP1,RANBP1:P43487:Cardiometabolic_II,P43487,9847,RANBP1,601180,ENSG00000099901,5902,OID30258,Ran-specific GTPase-activating protein,Olink Explore,Cardiometabolic_v1
RAP1A,RAP1A:P62834:Inflammation_II,P62834,9855,RAP1A,179520,ENSG00000116473,5906,OID30452,Ras-related protein Rap-1A,Olink Explore,Inflammation_v1
RARRES1,RARRES1:P49788:Oncology,P49788,9867,RARRES1,605090,ENSG00000118849,5918,OID21177,Retinoic acid receptor responder protein 1,Olink Explore,Oncology_v1
RARRES2,RARRES2:Q99969:Cardiometabolic,Q99969,9868,RARRES2,601973,ENSG00000106538,5919,OID20373,Retinoic acid receptor responder protein 2,Olink Explore,Cardiometabolic_v1
RASSF2,RASSF2:P50749:Oncology,P50749,9883,RASSF2,609492,ENSG00000101265,9770,OID21194,Ras association domain-containing protein 2,Olink Explore,Oncology_v1
RBP1,RBP1:P09455:Neurology_II,P09455,9919,RBP1,180260,ENSG00000114115,5947,OID30913,Retinol-binding protein 1,Olink Explore,Neurology_v1
RBP2,RBP2:P50120:Oncology,P50120,9920,RBP2,180280,ENSG00000114113,5948,OID21365,Retinol-binding protein 2,Olink Explore,Oncology_v1
REG1A,REG1A:P05451:Cardiometabolic,P05451,9951,REG1A,167770,ENSG00000115386,5967,OID20415,Lithostathine-1-alpha,Olink Explore,Cardiometabolic_v1
REG1B,REG1B:P48304:Cardiometabolic,P48304,9952,REG1B,167771,ENSG00000172023,5968,OID20266,Lithostathine-1-beta,Olink Explore,Cardiometabolic_v1
RELB,RELB:Q01201:Inflammation_II,Q01201,9956,RELB,604758,ENSG00000104856,5971,OID30463,Transcription factor RelB,Olink Explore,Inflammation_v1
REN,REN:P00797:Cardiometabolic,P00797,9958,REN,179820,ENSG00000143839,5972,OID20201,Renin,Olink Explore,Cardiometabolic_v1
RET,RET:P07949:Oncology,P07949,9967,RET,164761,ENSG00000165731,5979,OID21346,Proto-oncogene tyrosine-protein kinase receptor Ret,Olink Explore,Oncology_v1
RFC4,RFC4:P35249:Oncology_II,P35249,9972,RFC4,102577,ENSG00000163918,5984,OID31376,Replication factor C subunit 4,Olink Explore,Oncology_v1
RGS10,RGS10:O43665:Neurology_II,O43665,9992,RGS10,602856,ENSG00000148908,6001,OID30999,Regulator of G-protein signaling 10,Olink Explore,Neurology_v1
RLN2,RLN2:P04090:Inflammation_II,P04090,10027,RLN2,179740,ENSG00000107014,6019,OID30601,Prorelaxin H2,Olink Explore,Inflammation_v1
RNASE1,RNASE1:P07998:Inflammation_II,P07998,10044,RNASE1,180440,ENSG00000129538,6035,OID30672,Ribonuclease pancreatic,Olink Explore,Inflammation_v1
RNASE3,RNASE3:P12724:Cardiometabolic,P12724,10046,RNASE3,131398,ENSG00000169397,6037,OID20203,Eosinophil cationic protein,Olink Explore,Cardiometabolic_v1
RNASE4,RNASE4:P34096:Inflammation_II,P34096,10047,RNASE4,601030,ENSG00000258818,6038,OID30705,Ribonuclease 4,Olink Explore,Inflammation_v1
RNASE6,RNASE6:Q93091:Inflammation_II,Q93091,10048,RNASE6,601981,ENSG00000169413,6039,OID30689,Ribonuclease K6,Olink Explore,Inflammation_v1
RNF5,RNF5:Q99942:Cardiometabolic_II,Q99942,10068,RNF5,602677,ENSG00000204308,6048,OID30218,E3 ubiquitin-protein ligase RNF5,Olink Explore,Cardiometabolic_v1
ROBO1,ROBO1:Q9Y6N7:Inflammation,Q9Y6N7,10249,ROBO1,602430,ENSG00000169855,6091,OID20734,Roundabout homolog 1,Olink Explore,Inflammation_v1
ROBO2,ROBO2:Q9HCK4:Neurology,Q9HCK4,10250,ROBO2,602431,ENSG00000185008,6092,OID21007,Roundabout homolog 2,Olink Explore,Neurology_v1
ROR1,ROR1:Q01973:Cardiometabolic,Q01973,10256,ROR1,602336,ENSG00000185483,4919,OID20224,Inactive tyrosine-protein kinase transmembrane receptor ROR1,Olink Explore,Cardiometabolic_v1
RP2,RP2:O75695:Oncology,O75695,10274,RP2,300757,ENSG00000102218,6102,OID21302,Protein XRP2,Olink Explore,Oncology_v1
RPA2,RPA2:P15927:Inflammation_II,P15927,10290,RPA2,179836,ENSG00000117748,6118,OID30453,Replication protein A 32 kDa subunit,Olink Explore,Inflammation_v1
RPE,RPE:Q96AT9:Oncology_II,Q96AT9,10293,RPE,180480,ENSG00000197713,6120,OID31324,Ribulose-phosphate 3-epimerase,Olink Explore,Oncology_v1
RPL14,RPL14:P50914:Cardiometabolic_II,P50914,10305,RPL14,617414,ENSG00000188846,9045,OID30284,60S ribosomal protein L14,Olink Explore,Cardiometabolic_v1
RPS10,RPS10:P46783:Cardiometabolic_II,P46783,10383,RPS10,603632,ENSG00000124614,6204,OID30070,40S ribosomal protein S10,Olink Explore,Cardiometabolic_v1
RRAS,RRAS:P10301:Neurology_II,P10301,10447,RRAS,165090,ENSG00000126458,6237,OID30961,Ras-related protein R-Ras,Olink Explore,Neurology_v1
RRM2,RRM2:P31350:Oncology,P31350,10452,RRM2,180390,ENSG00000171848,6241,OID21187,Ribonucleoside-diphosphate reductase subunit M2,Olink Explore,Oncology_v1
RUVBL1,RUVBL1:Q9Y265:Oncology,Q9Y265,10474,RUVBL1,603449,ENSG00000175792,8607,OID21211,RuvB-like 1,Olink Explore,Oncology_v1
RYR1,RYR1:P21817:Cardiometabolic_II,P21817,10483,RYR1,180901,ENSG00000196218,6261,OID30085,Ryanodine receptor 1,Olink Explore,Cardiometabolic_v1
S100A11,S100A11:P31949:Cardiometabolic,P31949,10488,S100A11,603114,ENSG00000163191,6282,OID20130,Protein S100-A11,Olink Explore,Cardiometabolic_v1
S100A12,S100A12:P80511:Oncology,P80511,10489,S100A12,603112,ENSG00000163221,6283,OID21374,Protein S100-A12,Olink Explore,Oncology_v1
S100A13,S100A13:Q99584:Inflammation_II,Q99584,10490,S100A13,601989,ENSG00000189171,6284,OID30529,Protein S100-A13,Olink Explore,Inflammation_v1
S100A3,S100A3:P33764:Oncology_II,P33764,10493,S100A3,176992,ENSG00000188015,6274,OID31352,Protein S100-A3,Olink Explore,Oncology_v1
S100A4,S100A4:P26447:Oncology,P26447,10494,S100A4,114210,ENSG00000196154,6275,OID21519,Protein S100-A4,Olink Explore,Oncology_v1
S100P,S100P:P25815:Cardiometabolic,P25815,10504,S100P,600614,ENSG00000163993,6286,OID20103,Protein S100-P,Olink Explore,Cardiometabolic_v1
SAA4,SAA4:P35542:Inflammation_II,P35542,10516,SAA4,104752,ENSG00000148965,6291,OID30726,Serum amyloid A-4 protein,Olink Explore,Inflammation_v1
SAP18,SAP18:O00422:Oncology_II,O00422,10530,SAP18,602949,ENSG00000150459,10284,OID31323,Histone deacetylase complex subunit SAP18,Olink Explore,Oncology_v1
SAT1,SAT1:P21673:Cardiometabolic_II,P21673,10540,SAT1,313020,ENSG00000130066,6303,OID30111,Diamine acetyltransferase 1,Olink Explore,Cardiometabolic_v1
SATB1,SATB1:Q01826:Neurology_II,Q01826,10541,SATB1,602075,ENSG00000182568,6304,OID31038,DNA-binding protein SATB1,Olink Explore,Neurology_v1
ATXN10,ATXN10:Q9UBB4:Neurology,Q9UBB4,10549,ATXN10,611150,ENSG00000130638,25814,OID20865,Ataxin-10,Olink Explore,Neurology_v1
ATXN2,ATXN2:Q99700:Neurology_II,Q99700,10555,ATXN2,601517,ENSG00000204842,6311,OID30850,Ataxin-2,Olink Explore,Neurology_v1
SCAMP3,SCAMP3:O14828:Oncology,O14828,10565,SCAMP3,606913,ENSG00000116521,10067,OID21332,Secretory carrier-associated membrane protein 3,Olink Explore,Oncology_v1
SCG2,SCG2:P13521:Oncology,P13521,10575,SCG2,118930,ENSG00000171951,7857,OID21400,Secretogranin-2,Olink Explore,Oncology_v1
CLEC11A,CLEC11A:Q9Y240:Neurology,Q9Y240,10576,CLEC11A,604713,ENSG00000105472,6320,OID21112,C-type lectin domain family 11 member A,Olink Explore,Neurology_v1
SCN3A,SCN3A:Q9NY46:Neurology_II,Q9NY46,10590,SCN3A,182391,ENSG00000153253,6328,OID30903,Sodium channel protein type 3 subunit alpha,Olink Explore,Neurology_v1
SCN4B,SCN4B:Q8IWT1:Cardiometabolic_II,Q8IWT1,10592,SCN4B,608256,ENSG00000177098,6330,OID30277,Sodium channel subunit beta-4,Olink Explore,Cardiometabolic_v1
SCP2,SCP2:P22307:Oncology,P22307,10606,SCP2,184755,ENSG00000116171,6342,OID21161,Non-specific lipid-transfer protein,Olink Explore,Oncology_v1
SCT,SCT:P09683:Neurology_II,P09683,10607,SCT,182099,ENSG00000070031,6343,OID30951,Secretin,Olink Explore,Neurology_v1
CCL11,CCL11:P51671:Inflammation,P51671,10610,CCL11,601156,ENSG00000172156,6356,OID20668,Eotaxin,Olink Explore,Inflammation_v1
CCL13,CCL13:Q99616:Inflammation,Q99616,10611,CCL13,601391,ENSG00000181374,6357,OID20655,C-C motif chemokine 13,Olink Explore,Inflammation_v1
CCL14,CCL14:Q16627:Cardiometabolic,Q16627,10612,CCL14,601392,ENSG00000276409,6358,OID20401,C-C motif chemokine 14,Olink Explore,Cardiometabolic_v1
CCL15,CCL15:Q16663:Cardiometabolic,Q16663,10613,CCL15,601393,ENSG00000275718,6359,OID20328,C-C motif chemokine 15,Olink Explore,Cardiometabolic_v1
CCL16,CCL16:O15467:Cardiometabolic,O15467,10614,CCL16,601394,ENSG00000275152,6360,OID20334,C-C motif chemokine 16,Olink Explore,Cardiometabolic_v1
CCL17,CCL17:Q92583:Inflammation,Q92583,10615,CCL17,601520,ENSG00000102970,6361,OID20745,C-C motif chemokine 17,Olink Explore,Inflammation_v1
CCL18,CCL18:P55774:Cardiometabolic,P55774,10616,CCL18,603757,ENSG00000275385,6362,OID20395,C-C motif chemokine 18,Olink Explore,Cardiometabolic_v1
CCL19,CCL19:Q99731:Neurology,Q99731,10617,CCL19,602227,ENSG00000172724,6363,OID21030,C-C motif chemokine 19,Olink Explore,Neurology_v1
CCL2,CCL2:P13500:Neurology,P13500,10618,CCL2,158105,ENSG00000108691,6347,OID21004,C-C motif chemokine 2,Olink Explore,Neurology_v1
CCL20,CCL20:P78556:Inflammation,P78556,10619,CCL20,601960,ENSG00000115009,6364,OID20671,C-C motif chemokine 20,Olink Explore,Inflammation_v1
CCL21,CCL21:O00585:Inflammation,O00585,10620,CCL21,602737,ENSG00000137077,6366,OID20686,C-C motif chemokine 21,Olink Explore,Inflammation_v1
CCL22,CCL22:O00626:Inflammation,O00626,10621,CCL22,602957,ENSG00000102962,6367,OID20765,C-C motif chemokine 22,Olink Explore,Inflammation_v1
CCL23,CCL23:P55773:Inflammation,P55773,10622,CCL23,602494,ENSG00000274736,6368,OID20693,C-C motif chemokine 23,Olink Explore,Inflammation_v1
CCL24,CCL24:O00175:Inflammation,O00175,10623,CCL24,602495,ENSG00000106178,6369,OID20772,C-C motif chemokine 24,Olink Explore,Inflammation_v1
CCL25,CCL25:O15444:Inflammation,O15444,10624,CCL25,602565,ENSG00000131142,6370,OID20674,C-C motif chemokine 25,Olink Explore,Inflammation_v1
CCL26,CCL26:Q9Y258:Inflammation,Q9Y258,10625,CCL26,604697,ENSG00000006606,10344,OID20546,C-C motif chemokine 26,Olink Explore,Inflammation_v1
CCL27,CCL27:Q9Y4X3:Cardiometabolic,Q9Y4X3,10626,CCL27,604833,ENSG00000213927,10850,OID20121,C-C motif chemokine 27,Olink Explore,Cardiometabolic_v1
CCL3,CCL3:P10147:Inflammation,P10147,10627,CCL3,182283,ENSG00000277632,6348,OID20610,C-C motif chemokine 3,Olink Explore,Inflammation_v1
CCL4,CCL4:P13236:Inflammation,P13236,10630,CCL4,182284,ENSG00000275302,6351,OID20695,C-C motif chemokine 4,Olink Explore,Inflammation_v1
CCL5,CCL5:P13501:Cardiometabolic,P13501,10632,CCL5,187011,ENSG00000271503,6352,OID20412,C-C motif chemokine 5,Olink Explore,Cardiometabolic_v1
CCL7,CCL7:P80098:Inflammation,P80098,10634,CCL7,158106,ENSG00000108688,6354,OID20523,C-C motif chemokine 7,Olink Explore,Inflammation_v1
CCL8,CCL8:P80075:Oncology,P80075,10635,CCL8,602283,ENSG00000108700,6355,OID21466,C-C motif chemokine 8,Olink Explore,Oncology_v1
CXCL10,CXCL10:P02778:Inflammation,P02778,10637,CXCL10,147310,ENSG00000169245,3627,OID20697,C-X-C motif chemokine 10,Olink Explore,Inflammation_v1
CXCL11,CXCL11:O14625:Neurology,O14625,10638,CXCL11,604852,ENSG00000169248,6373,OID21042,C-X-C motif chemokine 11,Olink Explore,Neurology_v1
CXCL13,CXCL13:O43927:Neurology,O43927,10639,CXCL13,605149,ENSG00000156234,10563,OID21024,C-X-C motif chemokine 13,Olink Explore,Neurology_v1
CXCL14,CXCL14:O95715:Inflammation,O95715,10640,CXCL14,604186,ENSG00000145824,9547,OID20458,C-X-C motif chemokine 14,Olink Explore,Inflammation_v1
CXCL5,CXCL5:P42830:Cardiometabolic,P42830,10642,CXCL5,600324,ENSG00000163735,6374,OID20207,C-X-C motif chemokine 5,Olink Explore,Cardiometabolic_v1
CXCL6,CXCL6:P80162:Inflammation,P80162,10643,CXCL6,138965,ENSG00000124875,6372,OID20613,C-X-C motif chemokine 6,Olink Explore,Inflammation_v1
XCL1,XCL1:P47992:Oncology,P47992,10645,XCL1,600250,ENSG00000143184,6375,OID21398,Lymphotactin,Olink Explore,Oncology_v1
CX3CL1,CX3CL1:P78423:Neurology,P78423,10647,CX3CL1,601880,ENSG00000006210,6376,OID20976,Fractalkine,Olink Explore,Neurology_v1
SDC1,SDC1:P18827:Cardiometabolic,P18827,10658,SDC1,186355,ENSG00000115884,6382,OID20169,Syndecan-1,Olink Explore,Cardiometabolic_v1
SDC4,SDC4:P31431:Cardiometabolic,P31431,10661,SDC4,600017,ENSG00000124145,6385,OID20216,Syndecan-4,Olink Explore,Cardiometabolic_v1
ENTR1,ENTR1:Q96C92:Cardiometabolic_II,Q96C92,10667,ENTR1,618289,ENSG00000165689,10807,OID30231,Endosome-associated-trafficking regulator 1,Olink Explore,Cardiometabolic_v1
SDCCAG8,SDCCAG8:Q86SQ7:Oncology_II,Q86SQ7,10671,SDCCAG8,613524,ENSG00000054282,10806,OID31423,Serologically defined colon cancer antigen 8,Olink Explore,Oncology_v1
CXCL12,CXCL12:P48061:Inflammation,P48061,10672,CXCL12,600835,ENSG00000107562,6387,OID20464,Stromal cell-derived factor 1,Olink Explore,Inflammation_v1
SDHB,SDHB:P21912:Oncology_II,P21912,10681,SDHB,185470,ENSG00000117118,6390,OID31436,Succinate dehydrogenase,Olink Explore,Oncology_v1
SEL1L,SEL1L:Q9UBV2:Cardiometabolic_II,Q9UBV2,10717,SEL1L,602329,ENSG00000071537,6400,OID30196,Protein sel-1 homolog 1,Olink Explore,Cardiometabolic_v1
SELE,SELE:P16581:Cardiometabolic,P16581,10718,SELE,131210,ENSG00000007908,6401,OID20290,E-selectin,Olink Explore,Cardiometabolic_v1
SELL,SELL:P14151:Inflammation_II,P14151,10720,SELL,153240,ENSG00000188404,6402,OID30752,L-selectin,Olink Explore,Inflammation_v1
SELP,SELP:P16109:Cardiometabolic,P16109,10721,SELP,173610,ENSG00000174175,6403,OID20379,P-selectin,Olink Explore,Cardiometabolic_v1
SELPLG,SELPLG:Q14242:Inflammation,Q14242,10722,SELPLG,600738,ENSG00000110876,6404,OID20560,P-selectin glycoprotein ligand 1,Olink Explore,Inflammation_v1
SEMA3F,SEMA3F:Q13275:Cardiometabolic,Q13275,10728,SEMA3F,601124,ENSG00000001617,6405,OID20186,Semaphorin-3F,Olink Explore,Cardiometabolic_v1
SEMA4C,SEMA4C:Q9C0C4:Oncology,Q9C0C4,10731,SEMA4C,604462,ENSG00000168758,54910,OID21329,Semaphorin-4C,Olink Explore,Oncology_v1
SEMA4D,SEMA4D:Q92854:Neurology,Q92854,10732,SEMA4D,601866,ENSG00000187764,10507,OID21020,Semaphorin-4D,Olink Explore,Neurology_v1
SEMA6C,SEMA6C:Q9H3T2:Inflammation_II,Q9H3T2,10740,SEMA6C,609294,ENSG00000143434,10500,OID30531,Semaphorin-6C,Olink Explore,Inflammation_v1
SEMA7A,SEMA7A:O75326:Cardiometabolic,O75326,10741,SEMA7A,607961,ENSG00000138623,8482,OID20283,Semaphorin-7A,Olink Explore,Cardiometabolic_v1
SEPTIN3,SEPTIN3:Q9UH03:Neurology_II,Q9UH03,10750,SEPTIN3,608314,ENSG00000100167,55964,OID31025,Neuronal-specific septin-3,Olink Explore,Neurology_v1
SELENOP,SELENOP:P49908:Inflammation_II,P49908,10751,SELENOP,601484,ENSG00000250722,6414,OID30745,Selenoprotein P,Olink Explore,Inflammation_v1
SETMAR,SETMAR:Q53H47:Neurology,Q53H47,10762,SETMAR,609834,ENSG00000170364,6419,OID20948,Histone-lysine N-methyltransferase SETMAR,Olink Explore,Neurology_v1
SEZ6L,SEZ6L:Q9BYH1:Oncology,Q9BYH1,10763,SEZ6L,607021,ENSG00000100095,23544,OID21488,Seizure 6-like protein,Olink Explore,Oncology_v1
SF3B4,SF3B4:Q15427:Oncology,Q15427,10771,SF3B4,605593,ENSG00000143368,10262,OID21278,Splicing factor 3B subunit 4,Olink Explore,Oncology_v1
SFRP1,SFRP1:Q8N474:Neurology,Q8N474,10776,SFRP1,604156,ENSG00000104332,6422,OID20984,Secreted frizzled-related protein 1,Olink Explore,Neurology_v1
SFRP4,SFRP4:Q6FHJ7:Inflammation_II,Q6FHJ7,10778,SFRP4,606570,ENSG00000106483,6424,OID30648,Secreted frizzled-related protein 4,Olink Explore,Inflammation_v1
SFTPA1,SFTPA1:Q8IWL2:Oncology,Q8IWL2,10798,SFTPA1,178630,ENSG00000122852,653509,OID21165,Pulmonary surfactant-associated protein A1,Olink Explore,Oncology_v1
SFTPA2,SFTPA2:Q8IWL1:Oncology,Q8IWL1,10799,SFTPA2,178642,ENSG00000185303,729238,OID21218,Pulmonary surfactant-associated protein A2,Olink Explore,Oncology_v1
SFTPD,SFTPD:P35247:Cardiometabolic,P35247,10803,SFTPD,178635,ENSG00000133661,6441,OID20214,Pulmonary surfactant-associated protein D,Olink Explore,Cardiometabolic_v1
SGSH,SGSH:P51688:Cardiometabolic_II,P51688,10818,SGSH,605270,ENSG00000181523,6448,OID30341,N-sulphoglucosamine sulphohydrolase,Olink Explore,Cardiometabolic_v1
SH2D1A,SH2D1A:O60880:Inflammation,O60880,10820,SH2D1A,300490,ENSG00000183918,4068,OID20514,SH2 domain-containing protein 1A,Olink Explore,Inflammation_v1
SH3BP1,SH3BP1:Q9Y3L3:Oncology_II,Q9Y3L3,10824,SH3BP1,617368,ENSG00000100092,23616,OID31439,SH3 domain-binding protein 1,Olink Explore,Oncology_v1
SH3GLB2,SH3GLB2:Q9NR46:Neurology_II,Q9NR46,10834,SH3GLB2,609288,ENSG00000148341,56904,OID31145,Endophilin-B2,Olink Explore,Neurology_v1
SHBG,SHBG:P04278:Inflammation_II,P04278,10839,SHBG,182205,ENSG00000129214,6462,OID30685,Sex hormone-binding globulin,Olink Explore,Inflammation_v1
SHC1,SHC1:P29353:Oncology_II,P29353,10840,SHC1,600560,ENSG00000160691,6464,OID31222,SHC-transforming protein 1,Olink Explore,Oncology_v1
SHH,SHH:Q15465:Inflammation_II,Q15465,10848,SHH,600725,ENSG00000164690,6469,OID30516,Sonic hedgehog protein,Olink Explore,Inflammation_v1
SHMT1,SHMT1:P34896:Inflammation,P34896,10850,SHMT1,182144,ENSG00000176974,6470,OID20714,"Serine hydroxymethyltransferase, cytosolic",Olink Explore,Inflammation_v1
ST6GAL1,ST6GAL1:P15907:Cardiometabolic,P15907,10860,ST6GAL1,109675,ENSG00000073849,6480,OID20302,"Beta-galactoside alpha-2,6-sialyltransferase 1",Olink Explore,Cardiometabolic_v1
ST3GAL1,ST3GAL1:Q11201:Oncology,Q11201,10862,ST3GAL1,607187,ENSG00000008513,6482,OID21322,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1",Olink Explore,Oncology_v1
SIGLEC5,SIGLEC5:O15389:Neurology,O15389,10874,SIGLEC5,604200,0,8778,OID21082,Sialic acid-binding Ig-like lectin 5,Olink Explore,Neurology_v1
SIGLEC6,SIGLEC6:O43699:Oncology,O43699,10875,SIGLEC6,604405,ENSG00000105492,946,OID21394,Sialic acid-binding Ig-like lectin 6,Olink Explore,Oncology_v1
SIGLEC7,SIGLEC7:Q9Y286:Cardiometabolic,Q9Y286,10876,SIGLEC7,604410,ENSG00000168995,27036,OID20190,Sialic acid-binding Ig-like lectin 7,Olink Explore,Cardiometabolic_v1
SIGLEC8,SIGLEC8:Q9NYZ4:Cardiometabolic_II,Q9NYZ4,10877,SIGLEC8,605639,ENSG00000105366,27181,OID30261,Sialic acid-binding Ig-like lectin 8,Olink Explore,Cardiometabolic_v1
SIGLEC9,SIGLEC9:Q9Y336:Oncology,Q9Y336,10878,SIGLEC9,605640,ENSG00000129450,27180,OID21390,Sialic acid-binding Ig-like lectin 9,Olink Explore,Oncology_v1
SIRT2,SIRT2:Q8IXJ6:Oncology,Q8IXJ6,10886,SIRT2,604480,ENSG00000068903,22933,OID21375,NAD-dependent protein deacetylase sirtuin-2,Olink Explore,Oncology_v1
VPS4B,VPS4B:O75351:Oncology_II,O75351,10895,VPS4B,609983,ENSG00000119541,9525,OID31386,Vacuolar protein sorting-associated protein 4B,Olink Explore,Oncology_v1
SLAMF1,SLAMF1:Q13291:Inflammation,Q13291,10903,SLAMF1,603492,ENSG00000117090,6504,OID20496,Signaling lymphocytic activation molecule,Olink Explore,Inflammation_v1
SLC16A1,SLC16A1:P53985:Neurology,P53985,10922,SLC16A1,600682,ENSG00000155380,6566,OID20799,Monocarboxylate transporter 1,Olink Explore,Neurology_v1
SLC27A4,SLC27A4:Q6P1M0:Neurology,Q6P1M0,10998,SLC27A4,604194,ENSG00000167114,10999,OID20814,Long-chain fatty acid transport protein 4,Olink Explore,Neurology_v1
SLC28A1,SLC28A1:O00337:Oncology_II,O00337,11001,SLC28A1,606207,ENSG00000156222,9154,OID31220,Sodium/nucleoside cotransporter 1,Olink Explore,Oncology_v1
SLC4A1,SLC4A1:P02730:Cardiometabolic_II,P02730,11027,SLC4A1,109270,ENSG00000004939,6521,OID30369,Band 3 anion transport protein,Olink Explore,Cardiometabolic_v1
SLC9A3R1,SLC9A3R1:O14745:Inflammation_II,O14745,11075,NHERF1,604990,ENSG00000109062,9368,OID30630,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,Olink Explore,Inflammation_v1
SLC9A3R2,SLC9A3R2:Q15599:Oncology_II,Q15599,11076,NHERF2,606553,ENSG00000065054,9351,OID31445,Na(+)/H(+) exchange regulatory cofactor NHE-RF2,Olink Explore,Oncology_v1
SLIT2,SLIT2:O94813:Neurology,O94813,11086,SLIT2,603746,ENSG00000145147,9353,OID20862,Slit homolog 2 protein,Olink Explore,Neurology_v1
SMARCA2,SMARCA2:P51531:Neurology,P51531,11098,SMARCA2,600014,ENSG00000080503,6595,OID20796,Probable global transcription activator SNF2L2,Olink Explore,Neurology_v1
SMPD1,SMPD1:P17405:Neurology,P17405,11120,SMPD1,607608,ENSG00000166311,6609,OID21028,Sphingomyelin phosphodiesterase,Olink Explore,Neurology_v1
SMS,SMS:P52788:Neurology_II,P52788,11123,SMS,300105,ENSG00000102172,6611,OID30853,Spermine synthase,Olink Explore,Neurology_v1
SMTN,SMTN:P53814:Neurology_II,P53814,11126,SMTN,602127,ENSG00000183963,6525,OID31154,Smoothelin,Olink Explore,Neurology_v1
SIGLEC1,SIGLEC1:Q9BZZ2:Inflammation,Q9BZZ2,11127,SIGLEC1,600751,ENSG00000088827,6614,OID20690,Sialoadhesin,Olink Explore,Inflammation_v1
SNAP23,SNAP23:O00161:Cardiometabolic,O00161,11131,SNAP23,602534,ENSG00000092531,8773,OID20218,Synaptosomal-associated protein 23,Olink Explore,Cardiometabolic_v1
SNAP25,SNAP25:P60880:Neurology_II,P60880,11132,SNAP25,600322,ENSG00000132639,6616,OID30811,Synaptosomal-associated protein 25,Olink Explore,Neurology_v1
SNAP29,SNAP29:O95721:Oncology,O95721,11133,SNAP29,604202,ENSG00000099940,9342,OID21506,Synaptosomal-associated protein 29,Olink Explore,Oncology_v1
SNCA,SNCA:P37840:Inflammation_II,P37840,11138,SNCA,163890,ENSG00000145335,6622,OID30645,Alpha-synuclein,Olink Explore,Inflammation_v1
SNCG,SNCG:O76070:Neurology,O76070,11141,SNCG,602998,ENSG00000173267,6623,OID20971,Gamma-synuclein,Olink Explore,Neurology_v1
SNRPB2,SNRPB2:P08579:Neurology_II,P08579,11155,SNRPB2,603520,ENSG00000125870,6629,OID31132,U2 small nuclear ribonucleoprotein B'',Olink Explore,Neurology_v1
